design,n,m,rho,nrho,sigma,tpi,tier
design_1,109,119,0.02021746517159361,2.2037037037037037,0.6736330697086077,0.3263669302913923,precarious
design_2,80,85,0.02689873417721519,2.151898734177215,0.6816933932149711,0.31830660678502887,precarious
design_3,80,85,0.02689873417721519,2.151898734177215,0.6816933932149711,0.31830660678502887,precarious
design_4,66,76,0.035431235431235435,2.3384615384615386,0.6539354547257462,0.3460645452742538,precarious
design_5,58,62,0.03750756200846945,2.175438596491228,0.6779951469994742,0.32200485300052584,precarious
design_6,58,62,0.03750756200846945,2.175438596491228,0.6779951469994742,0.32200485300052584,precarious
design_7,41,42,0.05121951219512195,2.1,0.6900655593423541,0.30993444065764586,precarious
design_8,22,24,0.1038961038961039,2.285714285714286,0.6614378277661476,0.33856217223385243,precarious
design_9,90,98,0.02446941323345818,2.202247191011236,0.6738557951469003,0.3261442048530997,precarious
design_10,90,98,0.02446941323345818,2.202247191011236,0.6738557951469003,0.3261442048530997,precarious
design_11,36,38,0.06031746031746032,2.1714285714285713,0.6786208925382962,0.32137910746170384,precarious
design_12,36,38,0.06031746031746032,2.1714285714285713,0.6786208925382962,0.32137910746170384,precarious
design_13,37,42,0.06306306306306306,2.333333333333333,0.6546536707079772,0.3453463292920228,precarious
design_14,37,42,0.06306306306306306,2.333333333333333,0.6546536707079772,0.3453463292920228,precarious
design_15,49,52,0.04421768707482993,2.1666666666666665,0.6793662204867574,0.32063377951324257,precarious
design_16,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_17,45,50,0.050505050505050504,2.2727272727272725,0.66332495807108,0.33667504192891995,precarious
design_18,29,32,0.07881773399014778,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_19,37,42,0.06306306306306306,2.333333333333333,0.6546536707079772,0.3453463292920228,precarious
design_20,29,32,0.07881773399014778,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_21,30,34,0.07816091954022988,2.3448275862068964,0.6530471562110153,0.3469528437889847,precarious
design_22,30,34,0.07816091954022988,2.3448275862068964,0.6530471562110153,0.3469528437889847,precarious
design_23,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_24,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_25,30,34,0.07816091954022988,2.3448275862068964,0.6530471562110153,0.3469528437889847,precarious
design_26,21,22,0.10476190476190476,2.2,0.674199862463242,0.32580013753675796,precarious
design_27,68,76,0.033362598770851626,2.268656716417911,0.6639197795548876,0.33608022044511243,precarious
design_28,68,76,0.033362598770851626,2.268656716417911,0.6639197795548876,0.33608022044511243,precarious
design_29,29,32,0.07881773399014778,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_30,74,86,0.03184005923731951,2.3561643835616435,0.6514741780386716,0.3485258219613284,precarious
design_31,74,86,0.03184005923731951,2.3561643835616435,0.6514741780386716,0.3485258219613284,precarious
design_32,22,24,0.1038961038961039,2.285714285714286,0.6614378277661476,0.33856217223385243,precarious
design_33,22,24,0.1038961038961039,2.285714285714286,0.6614378277661476,0.33856217223385243,precarious
design_34,46,52,0.050241545893719805,2.311111111111111,0.657793514480272,0.342206485519728,precarious
design_35,29,32,0.07881773399014778,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_36,50,54,0.044081632653061226,2.2040816326530615,0.6735753140545634,0.3264246859454366,precarious
design_37,50,54,0.044081632653061226,2.2040816326530615,0.6735753140545634,0.3264246859454366,precarious
design_38,126,138,0.017523809523809525,2.208,0.6729773775727068,0.3270226224272932,precarious
design_39,64,66,0.03273809523809524,2.0952380952380953,0.6908492797077574,0.30915072029224255,precarious
design_40,64,66,0.03273809523809524,2.0952380952380953,0.6908492797077574,0.30915072029224255,precarious
design_41,34,36,0.06417112299465241,2.181818181818182,0.67700320038633,0.32299679961367,precarious
design_42,46,52,0.050241545893719805,2.311111111111111,0.657793514480272,0.342206485519728,precarious
design_43,46,52,0.050241545893719805,2.311111111111111,0.657793514480272,0.342206485519728,precarious
design_44,48,52,0.04609929078014184,2.212765957446808,0.6722522420364822,0.32774775796351785,precarious
design_45,48,52,0.04609929078014184,2.212765957446808,0.6722522420364822,0.32774775796351785,precarious
design_46,48,54,0.047872340425531915,2.297872340425532,0.6596856715021064,0.34031432849789356,precarious
design_47,56,60,0.03896103896103896,2.1818181818181817,0.67700320038633,0.32299679961367,precarious
design_48,56,60,0.03896103896103896,2.1818181818181817,0.67700320038633,0.32299679961367,precarious
design_49,93,98,0.022907900888265546,2.130434782608696,0.6851187890446742,0.31488121095532584,precarious
design_50,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_51,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_52,22,24,0.1038961038961039,2.285714285714286,0.6614378277661476,0.33856217223385243,precarious
design_53,29,32,0.07881773399014778,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_54,29,32,0.07881773399014778,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_55,42,46,0.053426248548199766,2.24390243902439,0.667571849251482,0.33242815074851795,precarious
design_56,30,32,0.0735632183908046,2.206896551724138,0.673145600891813,0.32685439910818703,precarious
design_57,30,32,0.0735632183908046,2.206896551724138,0.673145600891813,0.32685439910818703,precarious
design_58,70,78,0.03229813664596273,2.260869565217391,0.6650621717611763,0.3349378282388237,precarious
design_59,44,48,0.0507399577167019,2.2325581395348837,0.6692657668420421,0.3307342331579579,precarious
design_60,44,48,0.0507399577167019,2.2325581395348837,0.6692657668420421,0.3307342331579579,precarious
design_61,49,50,0.04251700680272109,2.0833333333333335,0.6928203230275508,0.3071796769724492,precarious
design_62,42,44,0.05110336817653891,2.1463414634146343,0.6825753371673275,0.31742466283267246,precarious
design_63,42,44,0.05110336817653891,2.1463414634146343,0.6825753371673275,0.31742466283267246,precarious
design_64,62,68,0.035959809624537285,2.2295081967213117,0.6697233845138647,0.3302766154861353,precarious
design_65,91,96,0.023443223443223443,2.1333333333333333,0.6846531968814576,0.31534680311854235,precarious
design_66,57,64,0.040100250626566414,2.2857142857142856,0.6614378277661477,0.3385621722338523,precarious
design_67,49,52,0.04421768707482993,2.1666666666666665,0.6793662204867574,0.32063377951324257,precarious
design_68,22,24,0.1038961038961039,2.285714285714286,0.6614378277661476,0.33856217223385243,precarious
design_69,26,29,0.08923076923076922,2.32,0.6565321642986128,0.34346783570138717,precarious
design_70,26,29,0.08923076923076922,2.32,0.6565321642986128,0.34346783570138717,precarious
design_71,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_72,38,44,0.06258890469416785,2.378378378378378,0.6484246644403231,0.3515753355596769,precarious
design_73,22,24,0.1038961038961039,2.285714285714286,0.6614378277661476,0.33856217223385243,precarious
